junction,destination_spawnpoint_index,delta_x,delta_y
A,112,0,-5
B,113,0,5
C,102,0,5
D,104,0,5
E,83,0,5
F,110,0,-5
G,111,0,5
H,107,0,-5
I,109,0,5
J,100,0,5
K,106,0,5
L,82,0,5
